"Frequency Response - Position"
"Axis-1: 1 - 200Hz"
"Index","Time","CH1:POS3D","CH2:TCMD","CH3:SPEED","CH4:ABS","CH1_1:POSC"
"","msec","mm","%","1/min","mm","mm"
71,71.000000,4.25340000,40.88162593,1451.56860352,5.56961060,4.47170000
72,72.000000,4.45010000,-6.19335347,1477.31781006,5.81794739,4.63830000
73,73.000000,4.65180000,-48.79154079,1493.11065674,6.06716156,4.80500000
74,74.000000,4.85640000,-78.65970887,1493.33953857,6.31378174,4.97170000
75,75.000000,5.06180000,-100.00000000,1472.96905518,6.55586243,5.13830000
76,76.000000,5.26510000,-98.46196100,1444.93103027,6.79225922,5.30500000
77,77.000000,5.46300000,-93.87530898,1408.65325928,7.02217102,5.47170000
78,78.000000,5.65260000,-93.27107937,1370.31555176,7.24662781,5.63830000
79,79.000000,5.83290000,-82.17522659,1338.84429932,7.46520996,5.80500000
80,80.000000,6.00550000,-64.91348531,1301.87988281,7.67814636,5.97170000
81,81.000000,6.17280000,-46.74539962,1271.43859863,7.88696289,6.13830000
82,82.000000,6.33710000,-25.47377094,1246.03271484,8.09177399,6.30500000
83,83.000000,6.49880000,-9.55781379,1224.28894043,8.29444885,6.47170000
84,84.000000,6.65830000,4.91623180,1214.79034424,8.49617004,6.63830000
85,85.000000,6.81480000,19.29414996,1208.61053467,8.69705200,6.80500000
86,86.000000,6.96900000,28.74210382,1205.29174805,8.89881134,6.97170000
87,87.000000,7.12280000,39.08266960,1212.95928955,9.10152435,7.13830000
88,88.000000,7.27760000,44.71299094,1217.19360352,9.30557251,7.30500000
89,89.000000,7.43560000,43.14748695,1228.17993164,9.51225281,7.47170000
90,90.000000,7.59810000,42.04888767,1242.71392822,9.72034454,7.63830000
91,91.000000,7.76520000,32.02416918,1251.18255615,9.93080139,7.80500000
92,92.000000,7.93680000,20.24169184,1267.08984375,10.14324188,7.97170000
93,93.000000,8.11070000,10.23070585,1275.44403076,10.35621643,8.13830000
94,94.000000,8.28530000,-3.32326284,1279.33502197,10.57037354,8.30500000
95,95.000000,8.46090000,-9.61274375,1285.62927246,10.78407288,8.47170000
96,96.000000,8.63640000,-16.53391925,1280.25054932,10.99700928,8.63830000
97,97.000000,8.81180000,-22.57621533,1277.27508545,11.20944977,8.80500000
98,98.000000,8.98580000,-20.65366658,1272.23968506,11.41986847,8.97170000
99,99.000000,9.15690000,-21.42268608,1259.88006592,11.62925720,9.13830000
100,100.000000,9.32540000,-17.34413623,1255.30242920,11.83742523,9.30500000
101,101.000000,9.49040000,-7.96484482,1245.80383301,12.04368591,9.47170000
102,102.000000,9.65280000,-3.14474046,1236.87744141,12.24979401,9.63830000
103,103.000000,9.81420000,7.62153255,1235.73303223,12.45483398,9.80500000
104,104.000000,9.97490000,14.80362538,1228.40881348,12.65949249,9.97170000
105,105.000000,10.13550000,17.79730843,1229.66766357,12.86514282,10.13830000
106,106.000000,10.29610000,25.11672617,1233.78753662,13.07060242,10.30500000
107,107.000000,10.45720000,23.41389728,1233.44421387,13.27754974,10.47170000
108,108.000000,10.62010000,23.96319692,1244.43054199,13.48552704,10.63830000
109,109.000000,10.78490000,24.25157924,1247.97821045,13.69384766,10.80500000
110,110.000000,10.95260000,15.60010986,1252.67028809,13.90407562,10.97170000
111,111.000000,11.12280000,12.22191706,1262.74108887,14.11453247,11.13830000
112,112.000000,11.29340000,5.25954408,1261.71112061,14.32529449,11.30500000
113,113.000000,11.46480000,-2.93875309,1267.31872559,14.53704834,11.47170000
114,114.000000,11.63630000,-2.92502060,1268.69201660,14.74758148,11.63830000
115,115.000000,11.80780000,-9.35182642,1262.62664795,14.95838165,11.80500000
116,116.000000,11.97950000,-10.16204339,1265.71655273,15.16853333,11.97170000
117,117.000000,12.14980000,-8.88492172,1258.04901123,15.37727356,12.13830000
118,118.000000,12.31880000,-11.78247734,1251.75476074,15.58616638,12.30500000
119,119.000000,12.48600000,-4.71024444,1252.67028809,15.79349518,12.47170000
120,120.000000,12.65070000,-2.21093106,1241.45507813,16.00032806,12.63830000
121,121.000000,12.81470000,0.61796210,1241.79840088,16.20731354,12.80500000
122,122.000000,12.97750000,10.65641307,1239.73846436,16.41281128,12.97170000
123,123.000000,13.13990000,10.49162318,1233.10089111,16.61926270,13.13830000
124,124.000000,13.30260000,15.98461961,1240.65399170,16.82579041,13.30500000
125,125.000000,13.46510000,19.40400989,1237.10632324,17.03212738,13.47170000
126,126.000000,13.62810000,15.79236473,1240.53955078,17.24025726,13.63830000
127,127.000000,13.79230000,20.61246910,1249.69482422,17.44804382,13.80500000
128,128.000000,13.95790000,16.19060698,1246.14715576,17.65678406,13.97170000
129,129.000000,14.12570000,10.76627300,1255.87463379,17.86689758,14.13830000
130,130.000000,14.29490000,12.05712716,1259.19342041,18.07609558,14.30500000
131,131.000000,14.46460000,1.16726174,1256.56127930,18.28693390,14.47170000
132,132.000000,14.63510000,0.26091733,1266.05987549,18.49735260,14.63830000
133,133.000000,14.80540000,-1.73029388,1259.76562500,18.70697021,14.80500000
134,134.000000,14.97540000,-8.40428454,1259.42230225,18.91750336,14.97170000
135,135.000000,15.14530000,-3.47432024,1262.39776611,19.12639618,15.13830000
136,136.000000,15.31390000,-6.85251305,1251.06811523,19.33517456,15.30500000
137,137.000000,15.48210000,-7.23702280,1254.50134277,19.54406738,15.47170000
138,138.000000,15.64850000,1.19472672,1250.15258789,19.75090027,15.63830000
139,139.000000,15.81360000,-1.96374622,1240.88287354,19.95868683,15.80500000
140,140.000000,15.97850000,5.57539138,1247.74932861,20.16555786,15.97170000
141,141.000000,16.14220000,9.46168635,1237.67852783,20.37170410,16.13830000
142,142.000000,16.30600000,6.98983796,1239.39514160,20.57933807,16.30500000
143,143.000000,16.46990000,16.43779182,1245.23162842,20.78563690,16.47170000
144,144.000000,16.63390000,12.56522933,1236.64855957,20.99304199,16.63830000
